Iteration	Time	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	2165.567056417465	107.021306971	109.890785127	-76.7691673068	312.848909858	4.3012119882	16.5296568192	-22.783290339	31.3266654596
1	4275.050754547119	-379.909280892	62.0439441311	-492.250287843	-286.357202331	466.479020588	48.793409169	384.24137812	532.180429728
2	6383.443092107773	-636.358953555	75.6010363101	-785.128673382	-528.98893812	610.517869184	62.1434716654	504.190048194	691.186230665
3	8501.254411935806	-503.542238412	61.7150463746	-604.464435793	-387.774658382	507.913933111	50.5971968278	437.79358936	594.816481154
4	10626.600363016129	-630.764481986	101.144316787	-798.927428036	-459.47937661	586.435787697	74.9142769083	464.748911109	682.826720122
5	12742.121757268906	-704.996208484	85.8815270122	-848.866903563	-588.996941056	655.897851313	81.6246475115	522.296659302	785.770096428
6	14858.64469575882	-699.975541717	39.2332671752	-772.011768641	-636.071089651	635.122703517	72.1690589736	544.034479864	784.125283322
7	16966.136232614517	-671.302520145	69.1086996141	-748.438725658	-574.728632414	548.977651851	49.9729297392	450.703674591	621.215622789
8	19101.533530712128	-765.702945288	51.559109238	-849.839240105	-691.899014761	603.19030958	40.8258087858	524.841620613	670.154109409
9	21227.048849582672	-718.98876318	57.1746053628	-813.967496028	-619.394164049	562.241410693	46.3132704856	480.519317132	655.518188074
10	23366.94530558586	-579.091943125	76.991627219	-676.548385171	-444.268231405	438.140267229	61.8496048329	331.386030332	536.229694745
11	25535.349894285202	-524.132551922	58.7735460056	-620.756007636	-396.401743075	411.148644173	63.9820559173	281.125124737	521.098097338
12	27700.78853702545	-495.008275214	67.5417536809	-589.281565829	-387.882435314	324.327003583	65.1502947014	195.114871664	395.139815323
13	29878.67866587639	-497.374077585	52.4221374069	-565.460390821	-404.382354654	354.670470892	20.5209636235	305.440015419	379.286339286
14	32065.37663078308	-358.589584538	119.652220172	-563.583198531	-209.403708579	264.690005766	122.833137945	70.9906883978	440.669194148
